/IDAC_core/IBIT_cell_7/OUTn X,/IDAC_core/IBIT_cell_7/OUTn Y
0,0.006442840229086515
1,0.006478432743234063
2,0.006514023015655496
3,0.006549614659343892
4,0.006585194916853404
5,0.006620785668907382
6,0.006656374157236881
7,0.006691963985041095
8,0.006727503371636533
9,0.006763092271946678
10,0.006798678885979403
11,0.006834266807681866
12,0.006869843341672129
13,0.006905430262929772
14,0.006941014875201092
15,0.006976600763707907
16,0.007011970707839088
17,0.007047555585556291
18,0.007083138129749231
19,0.007118721917452576
20,0.007154294308613656
21,0.00718987698331977
22,0.007225457300603389
23,0.007261038829820163
24,0.007296570161215868
25,0.007332150535324993
26,0.007367728527103238
27,0.007403307698748589
28,0.007438875459016938
29,0.007474453403646963
30,0.007510028940441901
31,0.007545605624954397
32,0.007580198955962012
33,0.007615773986689115
34,0.007651346574839814
35,0.007686920269763605
36,0.007722482522482231
37,0.007758054854799402
38,0.007793624716748177
39,0.007829195652047632
40,0.007864716530257663
41,0.007900286050555604
42,0.007935853071269977
43,0.007971421131003688
44,0.008006977716674447
45,0.008042544286661311
46,0.008078108326864441
47,0.008113673371282827
48,0.008149023128066452
49,0.00818458661721254
50,0.008220147543570925
51,0.008255709437049221
52,0.008291259813975453
53,0.008326820079852514
54,0.008362377749966591
55,0.008397936350655954
56,0.008433444937628241
57,0.008469001845376514
58,0.008504556122622841
59,0.008540111292661245
60,0.0085756548947294
61,0.008611208292101749
62,0.008646759022956006
63,0.008682310608073248
