/IDAC_core/IBIT_cell_0/OUTn X,/IDAC_core/IBIT_cell_0/OUTn Y
0,5.038225395731969e-05
1,5.066013514768879e-05
2,5.093862199013113e-05
3,5.121650307671525e-05
4,5.149559830624622e-05
5,5.177347875807943e-05
6,5.205196310235585e-05
7,5.232984322822649e-05
8,5.260954261249543e-05
9,5.288742147598115e-05
10,5.316590248922803e-05
11,5.344378082078337e-05
12,5.372286648279225e-05
13,5.40007437706272e-05
14,5.427922148147526e-05
15,5.455709804130314e-05
16,5.483738321704177e-05
17,5.511525772483911e-05
18,5.539373094124398e-05
19,5.56716045379076e-05
20,5.595067874713841e-05
21,5.622855093591628e-05
22,5.650702013499619e-05
23,5.678489123669321e-05
24,5.706456154445669e-05
25,5.734243066188634e-05
26,5.762089510332931e-05
27,5.789876296752343e-05
28,5.817782481959267e-05
29,5.845569094668829e-05
30,5.873415072521081e-05
31,5.901201543964503e-05
32,5.929282810602493e-05
33,5.95706897414495e-05
34,5.98491433639871e-05
35,6.012700343707142e-05
36,6.040605095104035e-05
37,6.068390898908127e-05
38,6.096235736507803e-05
39,6.124021369492593e-05
40,6.151984966299809e-05
41,6.179770341816136e-05
42,6.207614587189984e-05
43,6.235399777989932e-05
44,6.263303066544628e-05
45,6.291088026334146e-05
46,6.318931693212327e-05
47,6.346716454824095e-05
48,6.374736875506931e-05
49,6.402521314278867e-05
50,6.430364298140779e-05
51,6.458148525941155e-05
52,6.48605021214245e-05
53,6.513834183534861e-05
54,6.541676539227203e-05
55,6.56946028711257e-05
56,6.597420085419542e-05
57,6.6252035256262e-05
58,6.653045190158381e-05
59,6.68082839481435e-05
60,6.708728425623262e-05
61,6.736511350050968e-05
62,6.764352339846757e-05
63,6.792135016953179e-05
