/IDAC_core/IBIT_cell_0/OUTn X,/IDAC_core/IBIT_cell_0/OUTn Y
0,5.045771396792001e-05
1,5.073112589941404e-05
2,5.100458470658021e-05
3,5.127799395322465e-05
4,5.155149754171243e-05
5,5.182490395078298e-05
6,5.209835697500109e-05
7,5.237176046844101e-05
8,5.264530317440701e-05
9,5.291870357007298e-05
10,5.31921503265317e-05
11,5.346554758635844e-05
12,5.373903839318097e-05
13,5.401243237505241e-05
14,5.428587246891667e-05
15,5.455926310409462e-05
16,5.483282810709464e-05
17,5.510621519053606e-05
18,5.537964814215317e-05
19,5.56530316763795e-05
20,5.592650798674722e-05
21,5.619988783815792e-05
22,5.647331331853794e-05
23,5.674668942576413e-05
24,5.702020264536913e-05
25,5.729357484376265e-05
26,5.756699243604824e-05
27,5.784036070199226e-05
28,5.811382099334836e-05
29,5.838718520004364e-05
30,5.866059456926598e-05
31,5.893395466111645e-05
32,5.920748715548094e-05
33,5.948084291067353e-05
34,5.975424359995374e-05
35,6.002759506232275e-05
36,6.030103781563016e-05
37,6.057438486375906e-05
38,6.084777662099618e-05
39,6.112111920374082e-05
40,6.139459687759356e-05
41,6.166793484143615e-05
42,6.194131729213664e-05
43,6.221465062210557e-05
44,6.248807452291167e-05
45,6.276140310178988e-05
46,6.303477594771338e-05
47,6.330809972770762e-05
48,6.358159275542408e-05
49,6.385491155235434e-05
50,6.412827439863598e-05
51,6.440158823461309e-05
52,6.467499193279473e-05
53,6.494830069380262e-05
54,6.522165328848295e-05
55,6.549495692915033e-05
56,6.576839369560774e-05
57,6.604169206910264e-05
58,6.631503406232205e-05
59,6.658832715829876e-05
60,6.686170941745555e-05
61,6.713499712424997e-05
62,6.740832823834142e-05
63,6.768161051221503e-05
