/Dret<0> X,/Dret<0> Y
0,0.7415973949860767
1.25e-10,0.7415082667629928
2.5e-10,0.1179864343206279
3.75e-10,0.001827375940138724
5e-10,0.0002735060333742418
6.25e-10,-2.57924447640091e-05
7.5e-10,-0.0001983663106888739
8.75e-10,-0.0003872190176734312
1e-09,-1.046812833880064e-05
1.125e-09,1.729893608476157e-05
1.25e-09,1.655991944663041e-05
1.375e-09,1.509752869468145e-05
1.5e-09,1.405270371693134e-05
1.625e-09,1.304939122660242e-05
1.750000000000001e-09,1.208878930064108e-05
1.875000000000001e-09,1.119896786028793e-05
2e-09,1.039283778712253e-05
2.125e-09,1.240625535781756e-05
2.25e-09,-3.424224671359424e-05
2.375e-09,2.325910873683683e-05
2.5e-09,0.0002172206498264837
2.625e-09,0.001011387013264165
2.75e-09,-0.000147882116128623
2.875e-09,-0.0003799838730224388
3e-09,-5.653320464304969e-05
3.124999999999999e-09,-1.324576383392919e-06
3.249999999999999e-09,5.171339707959113e-06
3.374999999999999e-09,3.688462730155268e-06
3.499999999999999e-09,2.074121306315617e-06
3.624999999999999e-09,1.156617580510162e-06
3.749999999999999e-09,7.013145165686402e-07
3.874999999999998e-09,4.635226609093259e-07
3.999999999999999e-09,3.350864199010468e-07
4.125e-09,-1.307704985813087e-06
4.25e-09,9.335602619816424e-05
4.375e-09,-0.0002270410306091101
4.500000000000001e-09,-0.004814891621505853
4.625000000000001e-09,-0.0008978044879016746
4.750000000000001e-09,0.5021076045080494
4.875000000000001e-09,1.788342643299282
5.000000000000002e-09,1.799067237314752
5.125000000000002e-09,1.799929663133566
5.250000000000002e-09,1.799980358616671
5.375000000000003e-09,1.79998607783103
5.500000000000003e-09,1.799988943535792
5.625000000000003e-09,1.799990670900435
5.750000000000004e-09,1.799991793603205
5.875000000000003e-09,1.79999259614146
6e-09,1.799993199084732
6.125000000000004e-09,1.79999245466526
6.250000000000005e-09,1.799962584224648
6.375000000000005e-09,1.8001760739701
6.500000000000005e-09,1.80102077737964
6.625000000000006e-09,1.804986103611115
6.750000000000006e-09,1.815623423849633
6.875000000000006e-09,1.801208954765341
7.000000000000006e-09,1.79899311521246
7.125000000000007e-09,1.7994961480475
7.250000000000007e-09,1.799689908121667
7.375000000000007e-09,1.79977553875883
7.500000000000008e-09,1.799824308094842
7.625000000000007e-09,1.799855723764574
7.750000000000007e-09,1.799877656154713
7.875000000000006e-09,1.799893935859724
8e-09,1.799906441607332
8.125000000000005e-09,1.799914259843209
8.250000000000004e-09,1.800022763503501
8.375000000000004e-09,1.799851846210763
8.500000000000003e-09,1.79979093567632
8.625000000000003e-09,1.801529292195289
8.750000000000002e-09,1.896742820192082
8.875000000000002e-09,0.03334034335160466
9.000000000000001e-09,0.004763062445254652
9.125000000000001e-09,0.001672824588572887
9.25e-09,0.0005592892414781092
9.375e-09,0.0001837324857902829
9.499999999999999e-09,5.920769691582491e-05
9.624999999999999e-09,2.136346509788139e-05
9.749999999999998e-09,1.084550538383185e-05
9.874999999999997e-09,7.599941240061169e-06
9.999999999999997e-09,6.593284422255129e-06
1.0125e-08,8.270919497653957e-06
1.025e-08,-3.709720062317866e-05
1.0375e-08,2.282307563774564e-05
1.049999999999999e-08,0.0002151446083501968
1.062499999999999e-08,0.0009159592654440872
1.074999999999999e-08,-0.0001045680417779081
1.087499999999999e-08,-8.636477807118942e-06
1.099999999999999e-08,-9.722624772478071e-05
1.112499999999999e-08,-2.22245834028212e-05
1.124999999999999e-08,-7.396315376683025e-06
1.137499999999999e-08,-2.020509309912535e-06
1.149999999999999e-08,-4.130731803375811e-07
1.162499999999999e-08,-9.06249425778746e-09
1.174999999999999e-08,7.679136439703616e-08
1.187499999999999e-08,9.518593457299058e-08
1.199999999999999e-08,9.781802043281864e-08
1.212499999999999e-08,-1.232809868217926e-06
1.224999999999999e-08,6.838828493405166e-05
1.237499999999999e-08,-3.872997698660813e-05
1.249999999999999e-08,-6.949968651078718e-05
1.262499999999999e-08,-6.405835238412656e-05
1.274999999999999e-08,-0.0004759968889674658
1.287499999999998e-08,-0.0002976740142037294
1.299999999999998e-08,-4.420987615615309e-06
1.312499999999998e-08,1.611874538388995e-05
1.324999999999998e-08,1.575626294842846e-05
1.337499999999998e-08,1.469487517231126e-05
1.349999999999998e-08,1.380235325008383e-05
1.362499999999998e-08,1.286996318801776e-05
1.374999999999998e-08,1.196644097873199e-05
1.387499999999998e-08,1.11192924584815e-05
1.399999999999998e-08,1.034190784615432e-05
1.412499999999998e-08,1.233093005323459e-05
1.424999999999998e-08,-3.427432053352098e-05
