/CLKC X,/CLKC Y
0,1.799999947160106
1.25e-10,0.7652119044574933
2.5e-10,0.1522863348403944
3.75e-10,0.003222637250633766
5e-10,9.591150834368203e-05
6.25e-10,0.0001095580795168375
7.5e-10,0.0001761942089247358
8.75e-10,8.022765328649904e-05
1e-09,0.0001017568973904256
1.125e-09,6.056962542956759e-05
1.25e-09,2.004193433949998e-05
1.375e-09,5.494903834169766e-06
1.5e-09,1.52671450051712e-06
1.625e-09,4.55686231094209e-07
1.750000000000001e-09,1.59009586056503e-07
1.875000000000001e-09,7.024748689444629e-08
2e-09,4.096460872845688e-08
2.125e-09,0.7288976724907169
2.25e-09,1.174367235908008
2.375e-09,1.675846814409645
2.5e-09,1.782834493024086
2.625e-09,1.797585513127656
2.75e-09,1.799802190291333
2.875e-09,1.799967777008403
3e-09,1.799919567045423
3.124999999999999e-09,1.799926363120962
3.249999999999999e-09,1.799950766904008
3.374999999999999e-09,1.799970242614834
3.499999999999999e-09,1.799982735418283
3.624999999999999e-09,1.799990207304842
3.749999999999999e-09,1.799994519073274
3.874999999999998e-09,1.799997022426718
3.999999999999999e-09,1.799998452267298
4.125e-09,0.763855456482973
4.25e-09,0.1514042420786817
4.375e-09,0.002826003664020577
4.500000000000001e-09,7.654566638073338e-05
4.625000000000001e-09,0.0001180863851782204
4.750000000000001e-09,0.0001020741777965015
4.875000000000001e-09,7.187795842947884e-05
5.000000000000002e-09,0.0001252618846597329
5.125000000000002e-09,5.825455851163665e-05
5.250000000000002e-09,1.745688799734584e-05
5.375000000000003e-09,4.445739925566391e-06
5.500000000000003e-09,9.704872810071881e-07
5.625000000000003e-09,2.04364187744443e-07
5.750000000000004e-09,6.753540280298259e-08
5.875000000000003e-09,3.48258100439226e-08
6e-09,2.541355161662777e-08
6.125000000000004e-09,0.7292740053899449
6.250000000000005e-09,1.174933755485058
6.375000000000005e-09,1.676021596791344
6.500000000000005e-09,1.782993687499738
6.625000000000006e-09,1.797620948131468
6.750000000000006e-09,1.799807871408707
6.875000000000006e-09,1.799964860061236
7.000000000000006e-09,1.799912439980523
7.125000000000007e-09,1.799924899726217
7.250000000000007e-09,1.799950936001598
7.375000000000007e-09,1.799970427919501
7.500000000000008e-09,1.799982816023317
7.625000000000007e-09,1.79999023341411
7.750000000000007e-09,1.79999451718031
7.875000000000006e-09,1.799997004988595
8e-09,1.799998426247858
8.125000000000005e-09,0.7638332196593727
8.250000000000004e-09,0.1513904567413577
8.375000000000004e-09,0.002824245191606259
8.500000000000003e-09,7.841371952887691e-05
8.625000000000003e-09,0.000119101174360766
8.750000000000002e-09,0.0001060591295775306
8.875000000000002e-09,7.097329247661599e-05
9.000000000000001e-09,0.0001237134326140808
9.125000000000001e-09,5.840540684759601e-05
9.25e-09,1.76355257948898e-05
9.375e-09,4.506308539152945e-06
9.499999999999999e-09,9.913059819366623e-07
9.624999999999999e-09,2.083253450552365e-07
9.749999999999998e-09,6.739333476107732e-08
9.874999999999997e-09,3.461916815735543e-08
9.999999999999997e-09,2.514237924453182e-08
1.0125e-08,0.7293970205884284
1.025e-08,1.174914977183311
1.0375e-08,1.67609285195149
1.049999999999999e-08,1.783003161683138
1.062499999999999e-08,1.797620067396771
1.074999999999999e-08,1.79978554232474
1.087499999999999e-08,1.799956318667682
1.099999999999999e-08,1.799916037823381
1.112499999999999e-08,1.799926609258947
1.124999999999999e-08,1.79995160282504
1.137499999999999e-08,1.799970746546431
1.149999999999999e-08,1.799982983654268
1.162499999999999e-08,1.799990329044764
1.174999999999999e-08,1.799994571625484
1.187499999999999e-08,1.799997034991168
1.199999999999999e-08,1.799998441630152
1.212499999999999e-08,0.763855615001566
1.224999999999999e-08,0.1514042435741784
1.237499999999999e-08,0.002754213350394221
1.249999999999999e-08,6.028718726152764e-05
1.262499999999999e-08,0.0001199962855831516
1.274999999999999e-08,9.556882352663673e-05
1.287499999999998e-08,6.955147500591879e-05
1.299999999999998e-08,0.0001274158633890452
1.312499999999998e-08,5.809639872793986e-05
1.324999999999998e-08,1.721878609543479e-05
1.337499999999998e-08,4.36888358528424e-06
1.349999999999998e-08,9.628573315494123e-07
1.362499999999998e-08,2.070175116776236e-07
1.374999999999998e-08,6.763301836833854e-08
1.387499999999998e-08,3.557647620070605e-08
1.399999999999998e-08,2.584209938357263e-08
1.412499999999998e-08,0.72945354591293
1.424999999999998e-08,1.174999240779431
1.437499999999998e-08,1.676112305370299
1.449999999999998e-08,1.783259833697682
1.462499999999998e-08,1.797784557499043
1.474999999999998e-08,1.799810041634522
1.487499999999998e-08,1.799961442701552
1.499999999999998e-08,1.799916379650902
1.512499999999997e-08,1.799926545146696
1.524999999999997e-08,1.799951528137887
1.537499999999997e-08,1.799970665255454
1.549999999999997e-08,1.799982964669201
1.562499999999997e-08,1.799990334955112
1.574999999999998e-08,1.799994701132385
1.587499999999997e-08,1.799997220877269
1.599999999999997e-08,1.799998605581676
1.612499999999997e-08,0.7638564810324351
1.624999999999997e-08,0.1514047947805755
1.637499999999997e-08,0.002754355656292484
1.649999999999997e-08,6.036509226851609e-05
1.662499999999997e-08,0.0001223260137299116
1.674999999999997e-08,6.811728917588395e-05
1.687499999999997e-08,6.491665077541708e-05
1.699999999999997e-08,0.0001377343647884921
1.712499999999997e-08,5.756142035284698e-05
1.724999999999997e-08,1.595273435199256e-05
1.737499999999997e-08,3.940914578100898e-06
1.749999999999996e-08,8.660053886528767e-07
1.762499999999996e-08,1.935374484319543e-07
1.774999999999996e-08,6.701661413983008e-08
1.787499999999996e-08,3.714239841467069e-08
1.799999999999996e-08,2.738869761606002e-08
1.812499999999996e-08,0.7299877975925776
1.824999999999996e-08,1.175532326466389
1.837499999999996e-08,1.676376623533861
1.849999999999996e-08,1.783669781541122
1.862499999999996e-08,1.797829166739466
1.874999999999996e-08,1.799786596332218
1.887499999999996e-08,1.799946679489594
1.899999999999996e-08,1.799916970658637
