Vcm X,Vcm Y
0,2.849730358952566
1,2.849635815294805
2,2.849542318099936
3,2.849449812219103
4,2.849358365104552
5,2.849267906558812
6,2.849178483697045
7,2.849090049538993
8,2.849002699534844
9,2.848916291383087
10,2.848830923483007
11,2.848746542147403
12,2.848663216520114
13,2.848580851616944
14,2.848499521712442
15,2.848419176480645
16,2.848339948747885
17,2.848261595363493
18,2.848184287341531
19,2.848107962190402
20,2.848032677908016
21,2.847958354878408
22,2.847885054136397
23,2.847812734422926
24,2.847741470986735
25,2.847671145090593
26,2.847601833946174
27,2.8475335063429
28,2.847466202033328
29,2.847399861549212
30,2.84733452860602
31,2.847270174384551
32,2.84720695874348
33,2.847144567838769
34,2.84708319460893
35,2.847022795381964
36,2.846963408153503
37,2.846904978094194
38,2.846847544551091
39,2.846791079934773
40,2.846735635677252
41,2.846681126453745
42,2.846627607321274
43,2.846575050939563
44,2.846523489133363
45,2.84647287436622
46,2.846423238440627
47,2.846374557184079
48,2.846326897315818
49,2.84628014708078
50,2.846234340780113
51,2.846189502255454
52,2.84614560917217
53,2.846102664993219
54,2.846060651159124
55,2.84601958621918
56,2.845979464011666
57,2.845940258646681
58,2.845901968245856
59,2.845864603581551
60,2.845828150866195
61,2.845792602264797
62,2.845757946396626
63,2.845724187729429
64,2.845691454243842
65,2.845659448804444
66,2.845628311244038
67,2.845598035930565
68,2.845568613464088
69,2.845540026642723
70,2.845512267227326
71,2.845485328166814
72,2.845459208439544
73,2.845433871681365
74,2.845409318070963
75,2.845385535975281
76,2.8453625169481
77,2.845340237461991
78,2.845318689568739
79,2.845297858418665
80,2.845277753113029
81,2.845258312575175
82,2.845239547281181
83,2.845221440033256
84,2.845203982341318
85,2.845187148588735
86,2.84517084262742
87,2.845155311092574
88,2.8451405735334
89,2.845125820818193
90,2.845111830269544
91,2.845098544916857
92,2.845085733739396
93,2.845073381347578
94,2.845061477863704
95,2.845050215088531
96,2.845040334131525
97,2.845028974015301
98,2.845018946831725
99,2.845009501099113
100,2.845000410629133
101,2.844991737785346
102,2.844983401119921
103,2.844975594947921
104,2.8449681884217
105,2.84496100129028
106,2.844954195258295
107,2.844947877239845
108,2.844941823038293
109,2.844936164889539
110,2.844930757222697
111,2.844925804070948
112,2.844921172981399
113,2.844916751371506
114,2.844912636309866
115,2.844908950893259
116,2.844905465841372
117,2.844902332076773
118,2.844899469767213
119,2.844896933056116
120,2.844894675035564
121,2.844892701224498
122,2.844891008206773
123,2.844889610830097
124,2.844888487476358
125,2.844887649090652
126,2.844887086942589
127,2.844886806240126
128,2.844886617191324
129,2.844887086184447
130,2.844887644568722
131,2.844888484321975
132,2.84488959860515
133,2.844891003804157
134,2.844892691657011
135,2.844894657376853
136,2.844896899090894
137,2.844899460643064
138,2.84490231697382
139,2.844905439768275
140,2.844908897818501
141,2.84491262129292
142,2.844916751362184
143,2.844921041936403
144,2.844925804062753
145,2.844930735059787
146,2.844936164872872
147,2.84494176052447
148,2.844947877218741
149,2.844954164530506
150,2.844961001261102
151,2.844968010773375
152,2.844975594918314
153,2.844983360301394
154,2.844991737738505
155,2.845000296578002
156,2.845009501045834
157,2.845018894081495
158,2.845028973944516
159,2.845039245551933
160,2.845050215129771
161,2.845061411623082
162,2.845073381243981
163,2.845085554659403
164,2.845098544806711
165,2.845111748381993
166,2.845125820671513
167,2.845140110435181
168,2.845155310983128
169,2.845170744399253
170,2.845187148386235
171,2.845203784984203
172,2.845221439827338
173,2.845239339194155
174,2.84525831230161
175,2.845277534374151
176,2.845297858421018
177,2.845318461178077
178,2.84534023710006
179,2.845362279273245
180,2.845385535620858
181,2.845409071994634
182,2.845433871212921
183,2.845458954608478
184,2.845485327879479
185,2.845512007002911
186,2.845540026050353
187,2.845568347551059
188,2.845598035375938
189,2.845628040828371
190,2.845659448073675
191,2.845691176120756
192,2.845724191284143
193,2.845757669624099
194,2.845792601385515
195,2.845827872085612
196,2.845864602808436
197,2.845901688595435
198,2.845940257615688
199,2.845979183294787
200,2.846019585816379
201,2.84606037143789
202,2.846102663814303
203,2.846145329935168
204,2.846189501308587
205,2.846234063130653
206,2.846280145719578
207,2.846326618379015
208,2.846374572044738
209,2.846422964397147
210,2.846472874365957
211,2.846523216745685
212,2.846575050932302
213,2.846627337915005
214,2.84668112642832
215,2.84673536668332
216,2.846791079879035
217,2.846847280408018
218,2.846904977988145
219,2.846963145842727
220,2.847022795211981
221,2.847082936044172
222,2.847144567584288
223,2.847206686872053
224,2.847270174087982
225,2.847334275668914
226,2.84739986108549
227,2.847465950391591
228,2.847533505764024
229,2.847601586556588
230,2.847671144371674
231,2.847741220686722
232,2.847812737055422
233,2.847884812047741
234,2.84795835487836
235,2.848032436000103
236,2.848107962190334
237,2.848184050202322
238,2.8482615953634
239,2.848339694111556
240,2.84841917648053
241,2.848499289078309
242,2.848580851616788
243,2.848662982429466
244,2.848746542147211
245,2.848830694859529
246,2.848916291382857
247,2.849002470299444
248,2.849090049538731
249,2.849178258528553
250,2.849267906555468
251,2.84935815056534
252,2.849449812193018
253,2.849542095788306
254,2.849635815224734
255,2.849730143693766
