/OUTn X,/OUTn Y
0,1.799999999499722
1,1.79703962519121
2,1.794079310336298
3,1.791119010378279
4,1.788158820224231
5,1.785198594526114
6,1.782238429157491
7,1.779278279273662
8,1.776318404603666
9,1.773358328803466
10,1.770398314591814
11,1.767438316137494
12,1.764478428093134
13,1.761518505487379
14,1.758558643666134
15,1.755598798030558
16,1.752639860531498
17,1.749680089724447
18,1.746720381654395
19,1.74376069721588
20,1.740801109592234
21,1.73784150206643
22,1.734881942818844
23,1.731922413104508
24,1.728963146838394
25,1.726003694574539
26,1.723044293121516
27,1.720084919832815
28,1.717125647736985
29,1.714166353192232
30,1.711207111154791
31,1.708247896099383
32,1.705292184510867
33,1.702333047821815
34,1.699373967028947
35,1.69641491224434
36,1.693455962497312
37,1.69049698848773
38,1.687538070698658
39,1.684579178161036
40,1.681620556465503
41,1.678661745692873
42,1.675702992908593
43,1.672744264838339
44,1.669785645095317
45,1.666827000097208
46,1.663868414489061
47,1.660909853270781
48,1.657952197864269
49,1.654993720787537
50,1.652035304715054
51,1.649076912910808
52,1.646118632253178
53,1.643160326147901
54,1.640202082171409
55,1.637243862530528
56,1.634285919300611
57,1.631327786782881
58,1.628369717695028
59,1.625411673186196
60,1.622453742345972
61,1.61949578657882
62,1.616537895431712
63,1.613580029271526
64,1.610637312658561
65,1.60767953816021
66,1.604721829796601
67,1.601764146991097
68,1.598806640208737
69,1.595848989806088
70,1.592891493821346
71,1.589933969258778
72,1.586976860075505
73,1.584019350586936
74,1.581062039419517
75,1.578104708813713
76,1.575147564163538
77,1.572190309363231
78,1.569233187624271
79,1.566276055312966
80,1.563320019336665
81,1.560362844397548
82,1.557405917193515
83,1.554448987924571
84,1.551492225915575
85,1.548535383849916
86,1.545578656713675
87,1.542621935784564
88,1.539665565580686
89,1.536708909845903
90,1.533752388901811
91,1.530795882175735
92,1.527839527113907
93,1.524883119204291
94,1.521926811185902
95,1.518970525222546
96,1.516017926543532
97,1.513061610166104
98,1.51010552268454
99,1.507149464970326
100,1.504193546298522
101,1.501237599662988
102,1.498281740848358
103,1.495325919414277
104,1.492370403477576
105,1.489414691874612
106,1.486459070937005
107,1.483503494994095
108,1.480548048396375
109,1.477592596970454
110,1.474637224213341
111,1.471681913179046
112,1.46872750809445
113,1.465772322614794
114,1.462817204784423
115,1.459862154186417
116,1.456907222349687
117,1.45395230862089
118,1.450997469356697
119,1.448042693916219
120,1.445088204300234
121,1.442133580532845
122,1.4391790340342
123,1.436224549599989
124,1.433270201295135
125,1.430315872595165
126,1.427361634539796
127,1.424407459510866
128,1.4215382840981
129,1.418584339831129
130,1.415630466399578
131,1.412676660984783
132,1.409723003153773
133,1.406769377157827
134,1.403815852031755
135,1.400862401199471
136,1.397909253833223
137,1.394956008788345
138,1.392002857382104
139,1.389049786872358
140,1.386096876778513
141,1.383144013078251
142,1.380191264679833
143,1.377238604230682
144,1.3742868650132
145,1.371334473344924
146,1.368382161856651
147,1.365429945974822
148,1.362477943535643
149,1.359525937844207
150,1.356574130705849
151,1.353622371376093
152,1.35067103389688
153,1.347719532543776
154,1.344768250483521
155,1.341817019672511
156,1.338866069329982
157,1.335915122652118
158,1.332964419667488
159,1.330013771846761
160,1.32706685181445
161,1.32411651910396
162,1.321166458880114
163,1.31821645828727
164,1.315266795917301
165,1.312317146190371
166,1.30936780294109
167,1.30641852443715
168,1.30346978497429
169,1.300520899772703
170,1.297572361241513
171,1.294623893322311
172,1.291675844256936
173,1.288727819619068
174,1.285780189129049
175,1.282832635989402
176,1.279886351104778
177,1.276939300051681
178,1.273992699118719
179,1.271046183275481
180,1.268100198463854
181,1.265154253615316
182,1.262208824479774
183,1.259263489309812
184,1.256318919889123
185,1.253374236040717
186,1.250430144232237
187,1.247486156530643
188,1.244542852630864
189,1.241599609029405
190,1.238657045147945
191,1.235714596890074
192,1.232788303588028
193,1.229846711011953
194,1.226905897866077
195,1.223965213294466
196,1.221025410740911
197,1.218085694434038
198,1.21514686670554
199,1.212208181975089
200,1.209270656952129
201,1.206333069385637
202,1.203396487754928
203,1.200460064953126
204,1.197524757813879
205,1.194589568598444
206,1.191655506626014
207,1.188721620602857
208,1.185789771660608
209,1.182857258512295
210,1.179925992891759
211,1.176994921465721
212,1.174065204766402
213,1.171135642509615
214,1.16820744139087
215,1.165279453659854
216,1.162353093056228
217,1.159426742586823
218,1.156501855281406
219,1.1535772013308
220,1.150654105352762
221,1.147731203822484
222,1.144809852600113
223,1.141888755311649
224,1.138972765087414
225,1.136053523545924
226,1.133135901833546
227,1.130218555077507
228,1.127302908074756
229,1.124387497692498
230,1.121473763450107
231,1.11856032546922
232,1.115648799200877
233,1.112737367182852
234,1.109827651879216
235,1.106918254237977
236,1.10401063894818
237,1.101103303277942
238,1.098197714300689
239,1.095292464309196
240,1.092389832735486
241,1.089486691004968
242,1.086585317982498
243,1.083684304280871
244,1.080785116767016
245,1.077886249569693
246,1.074989166141697
247,1.072092462536967
248,1.069197764312103
249,1.066303240447037
250,1.063410511424481
251,1.060518182244792
252,1.057627701985699
253,1.054737581917341
254,1.051849265501397
255,1.048961368411256
