Vdiff X,Vdiff Y
0,-0.7506727461955287
1,-0.7448113978193673
2,-0.7389488823433614
3,-0.733085154295458
4,-0.7272204313708772
5,-0.7213544164239882
6,-0.7154873308312348
7,-0.7096191214185683
8,-0.7037504942312975
9,-0.6978801841639564
10,-0.6920088976765266
11,-0.68613658490593
12,-0.6802634638258651
13,-0.6743892458513379
14,-0.6685141482858163
15,-0.6626381238643184
16,-0.6567639095974458
17,-0.6508861745447034
18,-0.6450076575680974
19,-0.6391283119750879
20,-0.6332483509310551
21,-0.6273674892406433
22,-0.6214859389103635
23,-0.615603653963416
24,-0.6097213262453012
25,-0.6038377071984202
26,-0.5979534877434243
27,-0.592068621187263
28,-0.5861833146499542
29,-0.5802972825529418
30,-0.5744107306242145
31,-0.568523611143873
32,-0.5626478296729127
33,-0.5567596904458598
34,-0.5508711042934655
35,-0.5449820216972778
36,-0.5390926436084607
37,-0.5332026823307126
38,-0.5273123375119306
39,-0.5214215585765287
40,-0.5155310226140679
41,-0.5096394826966422
42,-0.5037476149007902
43,-0.4978553671961767
44,-0.4919629352152395
45,-0.4860700288906019
46,-0.4801768427981632
47,-0.4742833236062611
48,-0.4683921534442963
49,-0.4624980631257769
50,-0.4566037617278953
51,-0.4507091131090208
52,-0.4448143903420276
53,-0.438919274165092
54,-0.4330239789545989
55,-0.4271283781018025
56,-0.4212330920731082
57,-0.4153372027624029
58,-0.409441043130288
59,-0.4035446158120324
60,-0.3976481437223149
61,-0.3917513861241757
62,-0.3858544759844025
63,-0.3799573277807875
64,-0.3741234086990557
65,-0.3682266400652416
66,-0.3623290555503895
67,-0.3564312592575862
68,-0.3505334686609716
69,-0.344635420085337
70,-0.3387372669527029
71,-0.3328389238465497
72,-0.3269410408338898
73,-0.3210425183060528
74,-0.3151438684549597
75,-0.3092450474549668
76,-0.303346270092832
77,-0.297447254532573
78,-0.291548170578799
79,-0.2856489319202922
80,-0.279752174138481
81,-0.2738528183871667
82,-0.2679533548134392
83,-0.2620537510211678
84,-0.2561542194016677
85,-0.2502544658177488
86,-0.2443546709986992
87,-0.2384547488952822
88,-0.2325553671001106
89,-0.2266553328155474
90,-0.2207552493349461
91,-0.2148550502133115
92,-0.2089549444836114
93,-0.2030546314161155
94,-0.1971542972920124
95,-0.191253858163144
96,-0.185365099701722
97,-0.1794645154364776
98,-0.1735639639494024
99,-0.1676633173471616
100,-0.1617627797578207
101,-0.1558620490509872
102,-0.1499613120867385
103,-0.1440604892542756
104,-0.1381602469543941
105,-0.1322593629766788
106,-0.1263584687874371
107,-0.1204574975168982
108,-0.1145566465411891
109,-0.1086556068755284
