Vdiff X,Vdiff Y
0,-0.750269640086606
1,-0.7444349012235478
2,-0.7385995135968464
3,-0.7327628698585642
4,-0.7269259468789082
5,-0.7210873911750377
6,-0.7152482170185086
7,-0.7094077932292209
8,-0.7035676198036152
9,-0.6977252913842593
10,-0.6918823533077898
11,-0.6860381715769373
12,-0.6801937062076271
13,-0.6743476495937324
14,-0.6685009683216858
15,-0.6626530488941946
16,-0.6568066293926218
17,-0.6509568266026728
18,-0.6451064221037017
19,-0.6392547846385082
20,-0.6334028729278263
21,-0.6275493810077448
22,-0.621695272364799
23,-0.6158399357875555
24,-0.6099848567165309
25,-0.6041276742750343
26,-0.5982698785069096
27,-0.5924108645091126
28,-0.5865515826095236
29,-0.5806907343386214
30,-0.5748292757697369
31,-0.5689666021403676
32,-0.5631096515493004
33,-0.5572451346440863
34,-0.551380035913543
35,-0.5455137268718406
36,-0.5396471660769826
37,-0.5337790482687288
38,-0.5279103350991716
39,-0.522040418042119
40,-0.5161707852089803
41,-0.5102990738178603
42,-0.5044267775065712
43,-0.4985532856884958
44,-0.4926795611515782
45,-0.4868042959909196
46,-0.4809284547622907
47,-0.4750514287310579
48,-0.469175956683352
49,-0.4632971915908897
50,-0.4574178416118191
51,-0.4515373444304329
52,-0.4456566199073588
53,-0.4397744032853017
54,-0.4338916202386407
55,-0.4280077031124114
56,-0.4221241115320638
57,-0.4162385138860927
58,-0.4103523759740431
59,-0.404465122473388
60,-0.3985776943802966
61,-0.392688810656445
62,-0.3867994171605011
63,-0.3809089331296338
64,-0.3750411589114557
65,-0.3691491053144873
66,-0.3632565829894943
67,-0.357363002900756
68,-0.3514693243520723
69,-0.3455742549814895
70,-0.3396787579399878
71,-0.3337822441892797
72,-0.3278862118211374
73,-0.3219883025018115
74,-0.3160900176641377
75,-0.3101907654716913
76,-0.3042915196084308
77,-0.2983909805877558
78,-0.2924901247080831
79,-0.2865883580896105
80,-0.2806884441133921
81,-0.2747855119709048
82,-0.2688823268741516
83,-0.2629782928806417
84,-0.2570743928869992
85,-0.2511693220812601
86,-0.2452642641450373
87,-0.2393580226335859
88,-0.2334528515044969
89,-0.2275457669454959
90,-0.2216388673155538
91,-0.215730911096663
92,-0.209823519872429
93,-0.2039148243833566
94,-0.1980063406308601
95,-0.192096922182952
96,-0.1861940868617047
97,-0.1802840444725378
98,-0.1743742227681184
99,-0.168463577720438
100,-0.1625535050208009
101,-0.156642351575248
102,-0.1507314177809456
103,-0.1448197614771167
104,-0.1389091854289026
105,-0.1329971512218642
106,-0.1270853110793575
107,-0.1211728379641377
108,-0.1152609509392382
109,-0.1093481554467342
110,-0.1034355936228155
111,-0.09752247832617034
112,-0.09161168253579999
113,-0.0856983881158111
114,-0.07978527067314656
115,-0.0738716705362179
116,-0.06795867048204851
117,-0.0620449532884475
118,-0.05613137683544966
119,-0.05021747299961565
120,-0.0443046032906258
121,-0.03839061556460988
122,-0.03247679946083726
123,-0.02656266467631685
124,-0.02064911279570358
125,-0.01473492966450785
