/CLKT X,/CLKT Y
0,9.409743381034994e-09
1.25e-10,0.7281462099950841
2.5e-10,1.173777604203739
3.75e-10,1.675399443526071
5e-10,1.782801948299882
6.25e-10,1.797631787533589
7.5e-10,1.799605139640333
8.75e-10,1.800004465876043
1e-09,1.799964722825589
1.125e-09,1.799930553540345
1.25e-09,1.799947162087057
1.375e-09,1.799967509866054
1.5e-09,1.79998098509364
1.625e-09,1.7999892730064
1.750000000000001e-09,1.799994159451442
1.875000000000001e-09,1.799996998710933
2e-09,1.799998618281806
2.125e-09,0.7638464101755003
2.25e-09,0.151472492360786
2.375e-09,0.002869595106475531
2.5e-09,8.272778206427667e-05
2.625e-09,5.959089093781301e-05
2.75e-09,0.0007407846735546982
2.875e-09,0.0001075737877000247
3e-09,7.776496589164306e-05
3.124999999999999e-09,4.55796663425727e-05
3.249999999999999e-09,2.030338982181641e-05
3.374999999999999e-09,7.194531430898278e-06
3.499999999999999e-09,1.845042767673989e-06
3.624999999999999e-09,-5.995502554067724e-08
3.749999999999999e-09,-6.632203508720056e-07
3.874999999999998e-09,-8.636640574440914e-07
3.999999999999999e-09,-9.259095365074291e-07
4.125e-09,0.729976761180261
4.25e-09,1.17550322590338
4.375e-09,1.676271813707639
4.500000000000001e-09,1.783255495398133
4.625000000000001e-09,1.797765020452954
4.750000000000001e-09,1.799674083541442
4.875000000000001e-09,1.799935653285956
5.000000000000002e-09,1.799977859905849
5.125000000000002e-09,1.79993374589933
5.250000000000002e-09,1.799947478227861
5.375000000000003e-09,1.799967277990357
5.500000000000003e-09,1.799980947225241
5.625000000000003e-09,1.799989199507748
5.750000000000004e-09,1.799993935333446
5.875000000000003e-09,1.799996670197878
6e-09,1.799998229549008
6.125000000000004e-09,0.7637368166643246
6.250000000000005e-09,0.1513668057039172
6.375000000000005e-09,0.002860847105551031
6.500000000000005e-09,7.895516156648233e-05
6.625000000000006e-09,6.094063173494797e-05
6.750000000000006e-09,0.002071994406052065
6.875000000000006e-09,2.066867954657947e-05
7.000000000000006e-09,0.0001081894644429467
7.125000000000007e-09,5.956009075785399e-05
7.250000000000007e-09,1.958068629870056e-05
7.375000000000007e-09,5.248181948371747e-06
7.500000000000008e-09,9.059680720170564e-07
7.625000000000007e-09,-2.501659058578768e-07
7.750000000000007e-09,-5.248759868920845e-07
7.875000000000006e-09,-6.002014305207817e-07
8e-09,-6.236504393691838e-07
8.125000000000005e-09,0.7299826114425084
8.250000000000004e-09,1.175509802984536
