Power_DAC_Load X,Power_DAC_Load Y
0,0.01473268035537986
1.25e-10,0.01473254177694588
2.5e-10,0.01909162153058988
3.75e-10,0.03986246725916005
5e-10,0.039539411952355
6.25e-10,0.03871171120365749
7.5e-10,0.03626590404095563
8.75e-10,0.04317249848814835
1e-09,0.03853634235015967
1.125e-09,0.03742021393540768
1.25e-09,0.03621569484487315
1.375e-09,0.03521198645811338
1.5e-09,0.03500937114820973
1.625e-09,0.03498972177844133
1.750000000000001e-09,0.03497389677480415
1.875000000000001e-09,0.03491227516861785
2e-09,0.0347414000773774
2.125e-09,0.03434671410946046
2.25e-09,0.03380528715624636
2.375e-09,0.03348217012977831
2.5e-09,0.03338235196535862
2.625e-09,0.03340606491018366
2.75e-09,0.03343024665280961
2.875e-09,0.03342608086867947
3e-09,0.03335381932264922
3.124999999999999e-09,0.0333659968019285
3.249999999999999e-09,0.03339591594345383
3.374999999999999e-09,0.03341473229422798
3.499999999999999e-09,0.0334257830180517
3.624999999999999e-09,0.03343181835947334
3.749999999999999e-09,0.03343418786529591
3.874999999999998e-09,0.03343351597405966
3.999999999999999e-09,0.03342996478750362
4.125e-09,0.03342349015648106
4.25e-09,0.03341578885896396
4.375e-09,0.03339992375700898
4.500000000000001e-09,0.03334984910645825
4.625000000000001e-09,0.03329018249074728
4.750000000000001e-09,0.03276675360368851
4.875000000000001e-09,0.03178845514176633
5.000000000000002e-09,0.03196704093439605
5.125000000000002e-09,0.0322133978388134
5.250000000000002e-09,0.03231141644370503
5.375000000000003e-09,0.03234556561999595
5.500000000000003e-09,0.03235123299698189
5.625000000000003e-09,0.03234278205059828
5.750000000000004e-09,0.03232704677307004
5.875000000000003e-09,0.03230772272213431
6e-09,0.03228647895667207
6.125000000000004e-09,0.03226397937233304
6.250000000000005e-09,0.03224104520445937
6.375000000000005e-09,0.03221839627009331
6.500000000000005e-09,0.03219700030743947
6.625000000000006e-09,0.03218105218222241
6.750000000000006e-09,0.0321705944598524
6.875000000000006e-09,0.03215359868366821
7.000000000000006e-09,0.0321089344437712
7.125000000000007e-09,0.03208101963846068
7.250000000000007e-09,0.03206202226312807
7.375000000000007e-09,0.03204351751359724
7.500000000000008e-09,0.03202464179806134
7.625000000000007e-09,0.03200569437155109
