Power_Retimer X,Power_Retimer Y
0,0.5761642972694374
1.25e-10,0.5775052690874646
2.5e-10,0.7298383243480063
3.75e-10,0.2639399355290454
5e-10,0.03563129122673375
6.25e-10,0.06606295680722007
7.5e-10,0.212224956571813
8.75e-10,0.06498791254017473
1e-09,0.01060726384130806
1.125e-09,0.002555973244060864
1.25e-09,0.0009666581133334024
1.375e-09,0.0004822288677184807
1.5e-09,0.0002730730853334004
1.625e-09,0.0001705479873973193
1.750000000000001e-09,0.0001158693620796346
1.875000000000001e-09,8.356204110539427e-05
2e-09,5.90846239999568e-05
2.125e-09,0.001367811494851198
2.25e-09,0.00398487726026015
2.375e-09,0.008726125276219814
2.5e-09,0.03909749528055493
2.625e-09,0.05646901297332794
2.75e-09,0.02569058698123288
2.875e-09,0.01850796091830158
3e-09,0.01100749258148617
3.124999999999999e-09,0.004238050574286452
3.249999999999999e-09,0.0016298052146952
3.374999999999999e-09,0.000688104046584234
3.499999999999999e-09,0.0003270059941079213
3.624999999999999e-09,0.0001830722999122991
3.749999999999999e-09,0.0001202918984995248
3.874999999999998e-09,8.747449592249381e-05
3.999999999999999e-09,6.860392859691569e-05
4.125e-09,0.001391463244811235
4.25e-09,0.0653164322522601
4.375e-09,0.3465464206174506
4.500000000000001e-09,0.04293375627857805
4.625000000000001e-09,0.07133080625713815
4.750000000000001e-09,0.2283141133183154
4.875000000000001e-09,0.10427192081837
5.000000000000002e-09,0.01818420724833745
5.125000000000002e-09,0.005672118810170259
5.250000000000002e-09,0.002013123044488247
5.375000000000003e-09,0.0007733689477432007
5.500000000000003e-09,0.000322819355864467
5.625000000000003e-09,0.0001582390093783834
5.750000000000004e-09,9.483803079053377e-05
5.875000000000003e-09,6.524733913248824e-05
6e-09,4.996387085035039e-05
6.125000000000004e-09,0.001374427240461486
6.250000000000005e-09,0.003989895798326624
6.375000000000005e-09,0.008745853954904161
6.500000000000005e-09,0.03898698144733879
6.625000000000006e-09,0.05695149902390681
6.750000000000006e-09,0.02516502036539113
6.875000000000006e-09,0.01750557395177393
7.000000000000006e-09,0.01074447666108535
7.125000000000007e-09,0.004143019788881606
7.250000000000007e-09,0.001578682506114485
7.375000000000007e-09,0.0006507564694937583
7.500000000000008e-09,0.0002985026214316737
7.625000000000007e-09,0.0001609032549663206
7.750000000000007e-09,0.0001026730444251459
7.875000000000006e-09,7.318129880826203e-05
8e-09,5.680420347094831e-05
8.125000000000005e-09,0.001381571157616821
8.250000000000004e-09,0.004004167398839543
8.375000000000004e-09,0.01067276388867493
8.500000000000003e-09,0.041234552366927
8.625000000000003e-09,0.06935847515128529
8.750000000000002e-09,0.06005833966034346
8.875000000000002e-09,0.01515780290589797
9.000000000000001e-09,0.002843854600461843
9.125000000000001e-09,0.0009500263603050694
9.25e-09,0.000470379534379393
9.375e-09,0.0002653880572673033
9.499999999999999e-09,0.0001587305391146976
9.624999999999999e-09,0.0001003595774128568
9.749999999999998e-09,6.674214159422677e-05
9.874999999999997e-09,4.703122415590032e-05
9.999999999999997e-09,3.566100293615052e-05
1.0125e-08,0.001360907691246546
1.025e-08,0.003907624191494229
1.0375e-08,0.008771406329080779
1.049999999999999e-08,0.03898610330814295
1.062499999999999e-08,0.05691155376583704
1.074999999999999e-08,0.02413986311435441
1.087499999999999e-08,0.01594129421391704
1.099999999999999e-08,0.01022022799183938
1.112499999999999e-08,0.003992316472344445
1.124999999999999e-08,0.001495682726336069
1.137499999999999e-08,0.0005926668976219745
1.149999999999999e-08,0.0002536119730732006
1.162499999999999e-08,0.0001259688793150241
1.174999999999999e-08,7.472982929101935e-05
1.187499999999999e-08,5.025488529903563e-05
1.199999999999999e-08,3.759410676615834e-05
1.212499999999999e-08,0.001365137560442006
1.224999999999999e-08,0.06535343143892249
1.237499999999999e-08,0.3454767302594586
1.249999999999999e-08,0.0428909206181542
1.262499999999999e-08,0.07139789216083869
1.274999999999999e-08,0.2283438695220311
1.287499999999998e-08,0.1046973034129651
1.299999999999998e-08,0.01818588135885993
1.312499999999998e-08,0.005635722076746561
1.324999999999998e-08,0.002000763445099839
1.337499999999998e-08,0.0007690506237453123
1.349999999999998e-08,0.0003205848977140171
1.362499999999998e-08,0.0001570155111154262
1.374999999999998e-08,9.418886186829185e-05
1.387499999999998e-08,6.503059270793595e-05
1.399999999999998e-08,5.006443980561252e-05
1.412499999999998e-08,0.001374670771669908
1.424999999999998e-08,0.003989683628826229
1.437499999999998e-08,0.0087311825278226
1.449999999999998e-08,0.03898836596567224
1.462499999999998e-08,0.05695555448073655
1.474999999999998e-08,0.02517269425267302
1.487499999999998e-08,0.01750964580764348
1.499999999999998e-08,0.01074196471130657
1.512499999999997e-08,0.004142519731305798
1.524999999999997e-08,0.001571240609673666
1.537499999999997e-08,0.0006457877101334357
1.549999999999997e-08,0.0002932393097639375
1.562499999999997e-08,0.0001561574376542838
1.574999999999997e-08,9.842707753816397e-05
1.587499999999997e-08,6.929779555327211e-05
1.599999999999997e-08,5.323468205550152e-05
1.612499999999997e-08,0.001378283178774592
1.624999999999997e-08,0.05220279893391067
1.637499999999997e-08,0.2972952142145772
1.649999999999997e-08,0.04245075400736734
1.662499999999997e-08,0.06964822668776757
1.674999999999997e-08,0.1998590517915996
1.687499999999997e-08,0.09810252450125669
1.699999999999997e-08,0.0170562244548167
1.712499999999997e-08,0.005387972815983935
1.724999999999997e-08,0.001914115485912471
1.737499999999997e-08,0.0007355896505588807
1.749999999999996e-08,0.0003057014767898705
1.762499999999996e-08,0.0001488204239210097
1.774999999999996e-08,8.858316909222083e-05
1.787499999999996e-08,6.070229327522501e-05
1.799999999999996e-08,4.647674080844515e-05
1.812499999999996e-08,0.001371485281125527
1.824999999999996e-08,0.003975286290191836
1.837499999999996e-08,0.009009062788935328
1.849999999999996e-08,0.03802369103699667
1.862499999999996e-08,0.05666060105791872
1.874999999999996e-08,0.02791478139566754
1.887499999999996e-08,0.01969695967811752
1.899999999999996e-08,0.01251798513052905
1.912499999999996e-08,0.004929594243416247
1.924999999999996e-08,0.001848394104011417
1.937499999999996e-08,0.0007324215057138417
1.949999999999996e-08,0.000313919120425308
1.962499999999996e-08,0.0001573297754767097
1.974999999999996e-08,9.495048299384868e-05
1.987499999999995e-08,6.511562268726421e-05
1.999999999999995e-08,4.942595890117996e-05
2.012499999999995e-08,0.001374500012801643
2.024999999999995e-08,0.03172291870034562
2.037499999999995e-08,0.1863391769702546
2.049999999999995e-08,0.04039503344620242
2.062499999999995e-08,0.06637598596902644
2.074999999999995e-08,0.1460900918792076
2.087499999999995e-08,0.06929630304634399
2.099999999999995e-08,0.01226316215750376
2.112499999999995e-08,0.003860929839133742
2.124999999999995e-08,0.001405949103141018
2.137499999999995e-08,0.0005669355802401415
2.149999999999995e-08,0.0002510347375012666
2.162499999999995e-08,0.0001294002965107521
2.174999999999995e-08,7.928364615644484e-05
2.187499999999994e-08,5.473541773988313e-05
2.199999999999995e-08,4.165106980388351e-05
2.212499999999995e-08,0.001367253544181476
