Power_Bias X,Power_Bias Y
0,0.00018
1.25e-10,0.00018
2.5e-10,0.00018
3.75e-10,0.00018
5e-10,0.00018
6.25e-10,0.00018
7.5e-10,0.00018
8.75e-10,0.00018
1e-09,0.00018
1.125e-09,0.00018
1.25e-09,0.00018
1.375e-09,0.00018
1.5e-09,0.00018
1.625e-09,0.00018
1.750000000000001e-09,0.00018
1.875000000000001e-09,0.00018
2e-09,0.00018
2.125e-09,0.00018
2.25e-09,0.00018
2.375e-09,0.00018
2.5e-09,0.00018
2.625e-09,0.00018
2.75e-09,0.00018
2.875e-09,0.00018
3e-09,0.00018
3.124999999999999e-09,0.00018
3.249999999999999e-09,0.00018
3.374999999999999e-09,0.00018
3.499999999999999e-09,0.00018
3.624999999999999e-09,0.00018
3.749999999999999e-09,0.00018
3.874999999999998e-09,0.00018
3.999999999999999e-09,0.00018
4.125e-09,0.00018
4.25e-09,0.00018
4.375e-09,0.00018
4.500000000000001e-09,0.00018
4.625000000000001e-09,0.00018
4.750000000000001e-09,0.00018
4.875000000000001e-09,0.00018
5.000000000000002e-09,0.00018
5.125000000000002e-09,0.00018
5.250000000000002e-09,0.00018
5.375000000000003e-09,0.00018
5.500000000000003e-09,0.00018
5.625000000000003e-09,0.00018
5.750000000000004e-09,0.00018
5.875000000000003e-09,0.00018
6e-09,0.00018
6.125000000000004e-09,0.00018
6.250000000000005e-09,0.00018
6.375000000000005e-09,0.00018
6.500000000000005e-09,0.00018
6.625000000000006e-09,0.00018
6.750000000000006e-09,0.00018
6.875000000000006e-09,0.00018
7.000000000000006e-09,0.00018
7.125000000000007e-09,0.00018
7.250000000000007e-09,0.00018
7.375000000000007e-09,0.00018
7.500000000000008e-09,0.00018
7.625000000000007e-09,0.00018
7.750000000000007e-09,0.00018
7.875000000000006e-09,0.00018
8e-09,0.00018
8.125000000000005e-09,0.00018
8.250000000000004e-09,0.00018
8.375000000000004e-09,0.00018
8.500000000000003e-09,0.00018
8.625000000000003e-09,0.00018
8.750000000000002e-09,0.00018
