/OUTp X,/OUTp Y
0,1.049327253274498
1,1.052231164139402
2,1.055136298702952
3,1.05804266837703
4,1.060950154617382
5,1.06385889471054
6,1.066768768943457
7,1.06967978713792
8,1.0725915750889
9,1.075504778045122
10,1.078419019904353
11,1.08133430963875
12,1.084250527536839
13,1.087167806982249
14,1.090086027897565
15,1.093005198504136
16,1.095923879285033
17,1.098844846006201
18,1.101766655886333
19,1.104689318298187
20,1.107612715111081
21,1.110536979295683
22,1.113461993198597
23,1.116387766584561
24,1.119313933562799
25,1.122241127445725
26,1.12516898260373
27,1.12809751058143
28,1.131026597202806
29,1.1339563777301
30,1.136886738928262
31,1.139817694173646
32,1.142743008302124
33,1.145675072812975
34,1.148607644967409
35,1.151540740787667
36,1.154474250917121
37,1.157408313948174
38,1.16034282152637
39,1.163277791126373
40,1.166212869573767
41,1.169148689572741
42,1.172084898642292
43,1.175021516183695
44,1.177958437294691
45,1.180895803695678
46,1.183833511338662
47,1.186771581287873
48,1.189708631463762
49,1.19264736402348
50,1.195586323843224
51,1.198525751926772
52,1.201465328596825
53,1.20440527081978
54,1.207345415313373
55,1.210285973858686
56,1.213226392397117
57,1.216167434011074
58,1.219108633800944
59,1.222050201448836
60,1.224991840226311
61,1.227933858169977
62,1.230876002359577
63,1.233818475033679
64,1.236727163778356
65,1.239670531999167
66,1.242613562161067
67,1.245556886343765
68,1.248500259362646
69,1.251443950920156
70,1.254387747467237
71,1.257331809378324
72,1.260275677595004
73,1.263220066228865
74,1.266164559606097
75,1.269109293764553
76,1.272054060130113
77,1.274999101115145
78,1.277944231181234
79,1.280889580881534
80,1.283833686176127
81,1.286779331937631
82,1.289725047345475
83,1.292670964126271
84,1.295616900638103
85,1.298563078693309
86,1.30150933385122
87,1.304455774577956
88,1.307401993784218
89,1.310348673189047
90,1.31329542900846
91,1.31624235666296
92,1.319189294682199
93,1.322136448788915
94,1.325083670970373
95,1.328031053013836
96,1.330972496362046
97,1.333920198416173
98,1.336867859849268
99,1.339815670629078
100,1.342763484638004
101,1.345711494841658
102,1.348659566209747
103,1.351607777733046
104,1.354555754102628
105,1.357504150293294
106,1.360452608424925
107,1.363401198615569
108,1.366349786479636
109,1.36929854191784
110,1.372247379207956
111,1.375196315988165
112,1.378144031202252
113,1.381093138771066
114,1.384042322997014
115,1.386991602934508
116,1.389940898293682
117,1.392890340443891
118,1.395839855053673
119,1.398789461997955
120,1.401738845949718
121,1.404688604470563
122,1.407638435124334
123,1.41058835508289
124,1.413538282494781
125,1.416488351427061
126,1.419438485140148
127,1.422388705432473
128,1.424825700947024
129,1.427776850909592
130,1.430728037261621
131,1.433679304150189
132,1.43663056579073
133,1.439581963694078
134,1.442533413047242
135,1.445484943028334
136,1.448436226817746
137,1.451387883378609
138,1.454339586089732
139,1.457291372387933
140,1.460243139920355
141,1.463195051653476
142,1.466146998263951
143,1.469099035146884
144,1.472049808679917
145,1.475001972950948
146,1.477954154750168
147,1.480906437935991
148,1.483858674099118
149,1.486811079880689
150,1.489763487596558
151,1.492716013152002
152,1.495668266989019
153,1.498620881654867
154,1.501573543894534
155,1.504526271918253
156,1.507478987978471
157,1.510431828073518
158,1.513384713855446
159,1.516337664764984
160,1.519284911177914
161,1.522237973721349
162,1.525191080208985
163,1.528144251212447
164,1.531097406880696
165,1.534050685262438
166,1.53700400600998
167,1.539957390705083
168,1.542910523478514
169,1.545864013542782
170,1.548817544518183
171,1.551771138912689
172,1.554724715155127
173,1.557678412959227
174,1.560632150334019
175,1.563585950637154
176,1.566538512807778
177,1.569492415072091
178,1.572446355659432
179,1.575400358720175
180,1.578354341231831
181,1.581308444304165
182,1.584262584549595
183,1.587216786848335
184,1.590170733237902
185,1.593125034083943
186,1.596079371023656
187,1.599033769630468
188,1.601988145620059
189,1.604942641310266
190,1.60789717208655
191,1.610851764177327
192,1.613775802776445
193,1.616730506560226
194,1.619685244321279
195,1.62264004307107
196,1.625594817288371
197,1.628549710478183
198,1.631504636806358
199,1.634459623839175
200,1.637414351987485
201,1.64036943236992
202,1.64332454502456
203,1.646279718135675
204,1.649234865075522
205,1.652190130411342
206,1.655145427197038
207,1.65810078422925
208,1.661054904912135
209,1.664010353471676
210,1.66696583264374
211,1.669921371893623
212,1.672876883436967
213,1.675832512963121
214,1.678788172338464
215,1.681743891668834
216,1.684699349756362
217,1.687655158537379
218,1.690610996362011
219,1.69356689407049
220,1.696522762567047
221,1.699478748833392
222,1.702434763358997
223,1.705390837756664
224,1.70834130524385
225,1.711297469195501
226,1.714253660404034
227,1.717209911541487
228,1.720166131887689
229,1.72312247005436
230,1.726078834790598
231,1.729035259595789
232,1.731991420656291
233,1.734947931876699
234,1.737904468714069
235,1.740861065859262
236,1.743817630447497
237,1.746774313279521
238,1.749731020767085
239,1.752687788921196
240,1.755643322411688
241,1.75860017606361
242,1.761557053097009
243,1.764513991301388
244,1.767470894801692
245,1.770427917514037
246,1.773384962530392
247,1.776342069400684
248,1.779298908783154
249,1.782256099759608
250,1.785213311526778
251,1.788170586048758
252,1.791127823069012
253,1.794085181082443
254,1.797042558314836
255,1.79999999947003
