/OUTn X,/OUTn Y
0,1.799999999519586
1,1.797035358259176
2,1.794070915848391
3,1.791106341038834
4,1.78814215599173
5,1.785177648866925
6,1.782213350357777
7,1.779248921384107
8,1.77628515966923
9,1.773320791383673
10,1.770356638395398
11,1.76739235686217
12,1.764428461363871
13,1.761464250605338
14,1.758500245017064
15,1.75553611268742
16,1.752573289070253
17,1.749609210983083
18,1.746645354722616
19,1.743681373414455
20,1.740717775417921
21,1.737753867943076
22,1.734790163250598
23,1.731826335105241
24,1.728863163851633
25,1.725899409682814
26,1.722935856226542
27,1.719972185426006
28,1.717008892321426
29,1.714045297943917
30,1.711081902187878
31,1.708118388262459
32,1.70515830514639
33,1.702194851241428
34,1.699231615261237
35,1.696268261126902
36,1.693305287115243
37,1.690342013181461
38,1.687378939825131
39,1.684415748988446
40,1.681453210443116
41,1.678490100135803
42,1.675527192413923
43,1.672564168314029
44,1.669601525142471
45,1.66663858517857
46,1.663675846601459
47,1.660712992957569
48,1.657751426999585
49,1.654788669335835
50,1.651826091195966
51,1.648863423342943
52,1.645901114539764
53,1.64293853413926
54,1.639976135698883
55,1.637013644665796
56,1.634051787771865
57,1.631089386266387
58,1.628127172109949
59,1.625164863027469
60,1.622202922623246
61,1.619240706460621
62,1.616278681778563
63,1.613316560429531
64,1.610366306577649
65,1.607404277059465
66,1.604442447116766
67,1.60148051941566
68,1.59851896890808
69,1.595557140812106
70,1.592595512583657
71,1.589633786178047
72,1.586672710130341
73,1.583711087091588
74,1.58074966786755
75,1.577788150723486
76,1.574827018278265
77,1.571865609024873
78,1.568904407138411
79,1.565943108254138
80,1.56298309861321
81,1.56002191227304
82,1.557060937077666
83,1.554099866456949
84,1.551139187614159
85,1.548178235334998
86,1.545217553386229
87,1.54225666686308
88,1.539296712518948
89,1.536335793881845
90,1.533375348792549
91,1.53041472800676
92,1.527454626805912
93,1.524494102865467
94,1.521533909247282
95,1.518573568635742
96,1.515617210496615
97,1.512656509243919
98,1.509696584799922
99,1.506736539409775
100,1.503776957824967
101,1.500817044680297
102,1.497857409450434
103,1.494897678212519
104,1.491938686925302
105,1.488979076256072
106,1.486019753168826
107,1.483060357601991
108,1.480101386988765
109,1.477142160168136
110,1.474183175422756
111,1.471224141198559
112,1.4682664277586
113,1.465307569743659
114,1.462348953491506
115,1.459390310714739
116,1.45643206816171
117,1.45347364268261
118,1.450515423301331
119,1.447557203027866
120,1.444599639163095
121,1.441641658394554
122,1.438683903833805
123,1.435726137753207
124,1.432768800136031
125,1.42981128937758
126,1.426854041657101
127,1.423896784468446
128,1.420989923480001
129,1.418033037269659
130,1.4150763510187
131,1.41211966959049
132,1.409163451820884
133,1.406207094959729
134,1.403251033531611
135,1.400294996013389
136,1.397339676946726
137,1.394384035403984
138,1.391428680362484
139,1.388473369948749
140,1.38551856786989
141,1.382563669809346
142,1.379609181627968
143,1.376654633830532
144,1.373701662874284
145,1.370747566503647
146,1.367794004721733
147,1.364840391654347
148,1.361887519638892
149,1.358934424125314
150,1.355981925034971
151,1.353029384261172
152,1.35007791673994
153,1.347125970631062
154,1.34417469310659
155,1.341223384910517
156,1.338272961693596
157,1.335322337509686
158,1.332372464774162
159,1.329422573897219
160,1.326476646512311
161,1.323527540235608
162,1.320579278486657
163,1.317631012694051
164,1.314683816921594
165,1.311736448958282
166,1.308790026943145
167,1.305843616536528
168,1.302898644264113
169,1.299953252474486
170,1.297008913263056
171,1.294064602761176
172,1.291121573598086
173,1.288178407115763
174,1.285236400313867
175,1.282294440603659
176,1.279354750288237
177,1.276414058373373
178,1.27347462845065
179,1.270535265073959
180,1.267597385280803
181,1.264659407893413
182,1.261722784603913
183,1.258786248174587
184,1.25585154204944
185,1.252916497704118
186,1.249982885843463
187,1.247049381803808
188,1.24411751653801
189,1.241185596591199
190,1.23825517175372
191,1.235324876136024
192,1.232407627374172
193,1.229478990389222
194,1.226551895804722
195,1.223624952039904
196,1.220699740542048
197,1.217774518757251
198,1.214850872366815
199,1.211927398424437
200,1.209005941446941
201,1.206084237800126
202,1.203164130818502
203,1.200244217711301
204,1.197326078808049
205,1.194407973844974
206,1.191491477677195
207,1.18857519643673
208,1.185661563325456
209,1.182747119615053
210,1.17983428918765
211,1.176921694003183
212,1.174010882625533
213,1.171100147290435
214,1.168191026317942
215,1.165282160408325
216,1.162375330946327
217,1.159468342405257
218,1.156562964912732
219,1.153657861607809
220,1.150754534255062
221,1.147851322704048
222,1.144949716597341
223,1.142048403078782
224,1.139151786122091
225,1.136252375569826
226,1.133354563605296
227,1.130457061893824
228,1.127561320916894
229,1.124665732658806
230,1.12177173540778
231,1.118878065359822
232,1.115986399317684
233,1.113094651441653
234,1.110204486935332
235,1.107314665883504
236,1.104426588775947
237,1.101538698518995
238,1.09865238438041
239,1.095766429282111
240,1.092883063793225
241,1.08999904757727
242,1.087116601011606
243,1.084234528441663
244,1.081354185285232
245,1.078474060540952
246,1.075595499999414
247,1.07271732782099
248,1.069841128154886
249,1.066964912893607
250,1.064090257691887
251,1.061216004673998
252,1.05834347118027
253,1.055471185398643
254,1.052600457035628
255,1.049730144174178
