/OUTp X,/OUTp Y
0,1.048961703998615
1,1.051849265501397
2,1.054737918898248
3,1.057627701985699
4,1.060518520361679
5,1.063410511424481
6,1.0663035801242
7,1.069197764312104
8,1.072092802756804
9,1.074989166141697
10,1.077886591508312
11,1.080785116767016
12,1.083684646895569
13,1.086585317982498
14,1.08948703432422
15,1.092389832735487
16,1.095292806633978
17,1.098197714580533
18,1.101103646523855
19,1.104010639439329
20,1.106918596624147
21,1.109827652079266
22,1.11273770827321
23,1.115648799942336
24,1.11856066425576
25,1.121473763588317
26,1.124387833809403
27,1.127302908308943
28,1.130218887388712
29,1.133135901924507
30,1.136053851183025
31,1.138972766634103
32,1.141889076309648
33,1.14480985265586
34,1.147731518905555
35,1.150654105439727
36,1.15357750855971
37,1.156501855311576
38,1.159427040954776
39,1.162353093147195
40,1.165279742139149
41,1.168207441403103
42,1.171135920256153
43,1.174065204778172
44,1.176995187672725
45,1.179925992892094
46,1.18285751254562
47,1.185789771629687
48,1.18872186200844
49,1.19165550661921
50,1.19458979701771
51,1.197524757795675
52,1.20046028028246
53,1.203396487744629
54,1.206333271638483
55,1.20927065690602
56,1.212208371355025
57,1.215146866694346
58,1.218085871197312
59,1.221025410718668
60,1.223965377884668
61,1.226905897855628
62,1.229846863911638
63,1.232788303279544
64,1.235714738875761
65,1.238657045139073
66,1.24159974020734
67,1.244542852614843
68,1.247486252713977
69,1.250430144225209
70,1.253374261480116
71,1.256318919864437
72,1.259263686820969
73,1.262208824474501
74,1.265154275542513
75,1.268100198454872
76,1.271046257131149
77,1.27399269911494
78,1.276939318921245
79,1.279886351080498
80,1.282832908505978
81,1.285780189126451
82,1.28872783585093
83,1.291675844252718
84,1.294623946996202
85,1.2975723612398
86,1.300520913742572
87,1.303469784968972
88,1.306418624445171
89,1.309367802940009
90,1.312317158227578
91,1.315266795915635
92,1.318216495674272
93,1.321166458879466
94,1.324116529492817
95,1.327066851807707
96,1.330013892780989
97,1.332964419667121
98,1.335915131635183
99,1.338866069329457
100,1.34181704475711
101,1.344768250483329
102,1.347719540328659
103,1.350671033896386
104,1.353622412967893
105,1.356574130705759
106,1.359525944605965
107,1.362477943535528
108,1.36542996242881
109,1.368382187272848
110,1.371334479231561
111,1.374286920087123
112,1.377238639949879
113,1.380191268811588
114,1.383144018214724
115,1.386096886798665
116,1.389049797608144
117,1.392002861670624
118,1.394956013280348
119,1.397909277175672
120,1.400862416537368
121,1.403815856204689
122,1.406769381094702
123,1.409723012293851
124,1.412676668295426
125,1.415630470201212
126,1.418584343290656
127,1.421538317489362
128,1.424407430987915
129,1.427361637660437
130,1.43031587453071
131,1.433270207554925
132,1.436224553469364
133,1.439179036337121
134,1.442133580763408
135,1.445088214398561
136,1.448042701302792
137,1.45099747059303
138,1.453952307572605
139,1.456907224098856
140,1.459862156071187
141,1.462817204734193
142,1.465772320713286
143,1.468727504861375
144,1.471681934768244
145,1.474637222658109
146,1.477592605326967
147,1.480548043971956
148,1.483503494989905
149,1.486459067660449
150,1.489414691869881
151,1.492370387565067
152,1.495325919408898
153,1.498281735632691
154,1.501237599655537
155,1.504193534057384
156,1.507149464961556
157,1.510105515313725
158,1.513061610155108
159,1.516017774355773
160,1.518970525219058
161,1.521926801422073
162,1.52488311918872
163,1.527839505368544
164,1.530795882158385
165,1.53375237651415
166,1.53670890982463
167,1.539665510663205
168,1.542621935764148
169,1.545578641466641
170,1.548535383821639
171,1.551492192868799
172,1.554448987894236
173,1.557405898822932
174,1.560362844360642
175,1.563319855792074
176,1.566276055292079
177,1.569233165891193
178,1.572190309315915
179,1.57514751786174
180,1.578104708764454
181,1.581062014032317
182,1.584019350526877
183,1.586976751383577
184,1.589933969208632
185,1.592891464538106
186,1.595848989730732
187,1.598806578527289
188,1.601764146914556
189,1.604721828153892
190,1.607679538066217
191,1.610637310810862
192,1.613580029511494
193,1.616537893984009
194,1.619495786462454
195,1.62245374097251
196,1.625411673071435
197,1.62836971641773
198,1.631327786639796
199,1.634285918046048
200,1.637243862430933
201,1.640202081045325
202,1.643160325973144
203,1.646118631171324
204,1.64907691274436
205,1.652035303722585
206,1.65499372057579
207,1.657952196697536
208,1.660909853288516
209,1.663868413613894
210,1.666826999843054
211,1.669785644228334
212,1.672744264607993
213,1.675702992135094
214,1.678661745391356
215,1.681620555557913
216,1.684579178022929
217,1.687538070011696
218,1.690496988134871
219,1.693455961768721
220,1.696414911947971
221,1.699373966413404
222,1.702333047415379
223,1.705292182358416
224,1.708247897363734
225,1.711207110595563
226,1.714166352732098
227,1.717125647061643
228,1.72008491949125
229,1.723044292602097
230,1.726003694063455
231,1.728963145790014
232,1.731922413137578
233,1.73488194232203
234,1.737841501509494
235,1.740801108865612
236,1.743760696859672
237,1.746720381161584
238,1.749680096579845
239,1.752639857920832
240,1.755598798026599
241,1.758558643157133
242,1.761518505475652
243,1.764478427183491
244,1.767438316113163
245,1.770398314044415
246,1.773358328759561
247,1.776318402570604
248,1.779278279206785
249,1.782238428547479
250,1.78519859442331
251,1.788158818965187
252,1.791119010237651
253,1.794079309637241
254,1.797039625570563
255,1.799999999499725
