Vcm X,Vcm Y
0,2.848961703498338
1,2.848888890692607
2,2.848817229234546
3,2.848746712363979
4,2.84867734058591
5,2.848609105950594
6,2.84854200928169
7,2.848476043585766
8,2.84841120736047
9,2.848347494945163
10,2.848284906100126
11,2.84822343290451
12,2.848163074988703
13,2.848103823469877
14,2.848045677990354
15,2.847988630766044
16,2.847932667165476
17,2.847877804304979
18,2.84782402817825
19,2.84777133665521
20,2.847719706216381
21,2.847669154145697
22,2.847619651092054
23,2.847571213046844
24,2.847523811094154
25,2.847477458162856
26,2.847432126930919
27,2.847387828141757
28,2.847344535125696
29,2.847302255116739
30,2.847260962337816
31,2.847220662733486
32,2.847181260820515
33,2.847142900477675
34,2.847105485934502
35,2.847069017684067
36,2.847033471057022
37,2.846998843799306
38,2.846965111653434
39,2.846932271308231
40,2.846900298604651
41,2.846869187095976
42,2.846838913164746
43,2.846809469616511
44,2.846780832768042
45,2.846752992989302
46,2.846725927034682
47,2.846699624900468
48,2.846674059872709
49,2.846649227406747
50,2.846625101732764
51,2.846601670706483
52,2.846578912535637
53,2.84655681389253
54,2.846535353809892
55,2.846514519436548
56,2.846494290655636
57,2.846474653477227
58,2.84645558889234
59,2.846437083904864
60,2.846419120230641
61,2.846401684434448
62,2.84638475934335
63,2.846368332551069
64,2.846352051534322
65,2.846336583299283
66,2.846321570003941
67,2.84630699960594
68,2.846292892922714
69,2.846279134031297
70,2.846265755301462
71,2.846252889123215
72,2.846240546896475
73,2.846228175061436
74,2.84621631496203
75,2.846204907268586
76,2.846193821294686
77,2.846183008478171
78,2.846172506545516
79,2.846162406393463
80,2.846152927842643
81,2.846143033523999
82,2.846133753044445
83,2.846124832177289
84,2.846116172911777
85,2.846107745089716
86,2.846099570456247
87,2.846091720753536
88,2.846084190025858
89,2.846076712785913
90,2.846069547129389
91,2.84606267809137
92,2.846056022788179
93,2.846049578083757
94,2.846043340678719
95,2.846037377030252
96,2.846031819324521
97,2.846026029833225
98,2.846020654319723
99,2.846015534299783
100,2.846010591055632
101,2.846005850146317
102,2.846001281177017
103,2.845996953310662
104,2.845992816445469
105,2.845988822580371
106,2.84598501554297
107,2.845981438529623
108,2.845978010825185
109,2.845974784243302
110,2.845971703444902
111,2.845968833266169
112,2.845966148044329
113,2.845963591426383
114,2.845961222999147
115,2.845959040985082
116,2.845957019957831
117,2.845955170291514
118,2.845953482637045
119,2.84595197109189
120,2.845950620837602
121,2.845949436737533
122,2.845948415128902
123,2.84594756189384
124,2.845946869590561
125,2.845946342796378
126,2.845945977830452
127,2.845945777000228
128,2.845945715086015
129,2.845945977491566
130,2.845946340930289
131,2.845946868539709
132,2.845947556623137
133,2.845948413494948
134,2.845949432795163
135,2.845950615598031
136,2.845951955136016
137,2.845953479381375
138,2.845955164954709
139,2.845957010971214
140,2.8459590328497
141,2.845961217812444
142,2.845963585393119
143,2.845966109092056
144,2.845968799781445
145,2.845971696003033
146,2.845974767183618
147,2.845977989946778
148,2.845981438525548
149,2.845985005504656
150,2.845988822575729
151,2.84599275894116
152,2.845996953305778
153,2.846001268176467
154,2.846005850139058
155,2.846010553729895
156,2.846015534291539
157,2.846020637965843
158,2.846026029822596
159,2.846031546202533
160,2.846037377033508
161,2.846043320526032
162,2.846049578068834
163,2.846055963655814
164,2.846062678075686
165,2.846069522704521
166,2.84607671276572
167,2.846084035100355
168,2.846091720738438
169,2.846099541239345
170,2.846107745063152
171,2.846116086191111
172,2.846124832151173
173,2.846133718442
174,2.846143033489691
175,2.846152491781477
176,2.846162406396858
177,2.846172465942874
178,2.846183008434633
179,2.84619370113722
180,2.846204907228309
181,2.846216267647634
182,2.846228175006651
183,2.846240240693389
184,2.846252889097754
185,2.846265700578823
186,2.846279133962968
187,2.846292735057932
188,2.846306999545421
189,2.846321437183297
190,2.846336583214162
191,2.846351907700937
192,2.846368333099523
193,2.846384604995961
194,2.846401684328532
195,2.846418954266976
196,2.846437083812346
197,2.846455410851768
198,2.846474653345336
199,2.846494100021137
200,2.846514519383062
201,2.846535150430962
202,2.846556813728072
203,2.846578696124451
204,2.84660167055824
205,2.84662487232103
206,2.846649227201803
207,2.846673817300394
208,2.846699624949124
209,2.846725672126189
210,2.846752992734813
211,2.846780565694055
212,2.846809469374396
213,2.846838634644708
214,2.846869186782226
215,2.846900009217767
216,2.846932271079157
217,2.846964812598519
218,2.846998843416277
219,2.847033163099521
220,2.847069017300734
221,2.847105170235888
222,2.847142900015492
223,2.847180937670066
224,2.847220662451148
225,2.847260634141486
226,2.847302254565644
227,2.84734420213915
228,2.847387827566006
229,2.847431790294594
230,2.847477457513563
231,2.847523471259234
232,2.847571212338455
233,2.847619309504882
234,2.84766915338871
235,2.847719363103589
236,2.847771335807852
237,2.847823684439526
238,2.847877810880534
239,2.847932322230028
240,2.847988630762085
241,2.848045334162101
242,2.848103823458151
243,2.848162731464362
244,2.84822343288018
245,2.848284563614108
246,2.848347494901258
247,2.84841086510757
248,2.848476043518888
249,2.848541668994516
250,2.84860910584779
251,2.848677001209979
252,2.84874671222335
253,2.848816891554582
254,2.84888889107196
255,2.848961367910982
